Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
[2024/03/06 13:27:12] 5G,register,32.766,102,100,-77,-14,-63,10,3,16,0/17,-67.6,-12.7,-80.3,-62.2,-10.9,-73,-70.5,-10.9,-81.4,-63.9,-11.1,-75,359918920049210,999991829903013
[2024/03/06 13:27:12] Wi-Fi,link,3.4,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,7,-112,-63,-65,-68,49,47,44,47,,,,,,
[2024/03/06 13:27:13] 5G,register,13.113,102,100,-74,-13,-61,11,3,16,0/17,-63.2,-13,-76.1,-61.8,-11.5,-73.3,-67.1,-11.1,-78.2,-63.2,-10.9,-74.1,359918920049210,999991829903013
[2024/03/06 13:27:13] Wi-Fi,link,3.27,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,8,-112,-63,-65,-67,49,47,45,47,,,,,,
[2024/03/06 13:27:15] 5G,register,35.278,102,100,-74,-14,-60,11,3,16,0/17,-63.5,-12,-75.5,-63.1,-11.8,-74.8,-73.4,-12.2,-85.5,-64.2,-11,-75.2,359918920049210,999991829903013
[2024/03/06 13:27:15] Wi-Fi,link,4.623,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,8,-112,-62,-63,-67,50,49,45,48,,,,,,
[2024/03/06 13:27:16] 5G,register,33.184,102,100,-75,-14,-61,11,3,16,0/10,-62.8,-12.5,-75.3,-61.6,-11.5,-73,-68.1,-11.1,-79.2,-68.8,-11.5,-80.3,359918920049210,999991829903013
[2024/03/06 13:27:16] Wi-Fi,link,6.424,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,8,-112,-61,-62,-66,51,50,46,49,,,,,,
[2024/03/06 13:27:17] 5G,register,28.459,102,100,-75,-11,-63,11,3,16,0/10,-68.3,-11.6,-79.8,-63.8,-20.5,-84.2,-71.1,-11.2,-82.3,-63,-11.2,-74.2,359918920049210,999991829903013
[2024/03/06 13:27:18] Wi-Fi,link,4.858,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,8,-112,-61,-63,-64,51,49,48,49,,,,,,
[2024/03/06 13:27:19] 5G,register,33.09,102,100,-75,-14,-61,10,3,16,0/11,-64,-11.4,-75.4,-60.7,-12.3,-72.9,-65.5,-10.9,-76.3,-62.8,-11.1,-73.8,359918920049210,999991829903013
[2024/03/06 13:27:19] Wi-Fi,link,5.293,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,9,-112,-59,-60,-64,53,52,48,51,,,,,,
[2024/03/06 13:27:20] 5G,register,37.149,102,100,-70,-11,-58,11,3,16,0/23,-65.4,-12,-77.3,-61.6,-11.5,-73,-66.2,-11,-77.2,-62.3,-10.9,-73.2,359918920049210,999991829903013
[2024/03/06 13:27:20] Wi-Fi,link,9.671,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,8,-112,-60,-62,-65,52,50,47,50,,,,,,
[2024/03/06 13:27:22] 5G,register,27.484,102,100,-69,-10,-58,11,3,16,0/23,-65.9,-13,-78.8,-60.3,-10.8,-71.1,-66.6,-11.3,-77.9,-64.9,-11.1,-76,359918920049210,999991829903013
[2024/03/06 13:27:22] Wi-Fi,link,10.878,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,8,-112,-58,-59,-64,54,53,48,52,,,,,,
[2024/03/06 13:27:23] 5G,register,33.403,102,100,-76,-16,-59,11,3,16,0/23,-62.2,-12,-74.1,-63.2,-10.8,-73.9,-66.3,-11.2,-77.5,-66.2,-11,-77.2,359918920049210,999991829903013
[2024/03/06 13:27:23] Wi-Fi,link,4.943,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,9,-112,-57,-58,-63,55,54,49,53,,,,,,
[2024/03/06 13:27:25] 5G,register,27.96,102,100,-70,-10,-59,11,3,16,0/23,-64.8,-13.4,-78.1,-62.1,-10.9,-73,-62.6,-11,-73.6,-61.8,-10.9,-72.7,359918920049210,999991829903013
[2024/03/06 13:27:25] Wi-Fi,link,4.772,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,8,-112,-57,-59,-62,55,53,50,53,,,,,,
[2024/03/06 13:27:26] 5G,register,33.508,102,100,-68,-10,-58,11,3,16,0/3,-61.5,-12.8,-74.2,-63.5,-12.8,-76.2,-66.8,-11.2,-78,-69.1,-11.3,-80.3,359918920049210,999991829903013
[2024/03/06 13:27:26] Wi-Fi,link,4.784,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,8,-112,-56,-57,-61,56,55,51,54,,,,,,
[2024/03/06 13:27:28] 5G,register,30.225,102,100,-71,-11,-59,12,1,16,0/10,-63.1,-11.1,-74.2,-63.9,-13.4,-77.2,-61.4,-10.9,-72.3,-59.5,-10.9,-70.4,359918920049210,999991829903013
[2024/03/06 13:27:28] Wi-Fi,link,5.269,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,8,-112,-51,-52,-58,61,60,54,59,,,,,,
[2024/03/06 13:27:29] 5G,register,33.103,102,100,-67,-10,-57,11,3,16,0/10,-59.1,-11.1,-70.1,-56,-11.6,-67.5,-67.6,-11.6,-79.2,-69.1,-11.2,-80.3,359918920049210,999991829903013
[2024/03/06 13:27:29] Wi-Fi,link,3.224,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,8,-112,-52,-52,-59,60,60,53,58,,,,,,
[2024/03/06 13:27:31] 5G,register,11.397,102,100,-67,-11,-56,11,3,16,0/10,-59.8,-12.2,-72,-57.6,-13,-70.6,-64.5,-11.1,-75.6,-63.8,-11.1,-74.9,359918920049210,999991829903013
[2024/03/06 13:27:31] Wi-Fi,link,13.08,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,8,-112,-50,-53,-51,62,59,61,60,,,,,,
[2024/03/06 13:27:32] 5G,register,37.984,102,100,-62,-12,-50,11,3,16,0/10,-65,-15.3,-80.2,-52.9,-10.9,-63.7,-66.9,-11.3,-78.2,-63.6,-11.2,-74.8,359918920049210,999991829903013
[2024/03/06 13:27:32] Wi-Fi,link,5.976,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,9,-112,-50,-52,-55,62,60,57,60,,,,,,
[2024/03/06 13:27:34] 5G,register,35.777,102,100,-67,-11,-56,12,1,16,0/10,-62.5,-12.3,-74.8,-56.2,-14.2,-70.4,-66.9,-11.3,-78.2,-63.6,-11.2,-74.8,359918920049210,999991829903013
[2024/03/06 13:27:34] Wi-Fi,link,4.848,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,206.5,8,9,-112,-49,-50,-55,63,62,57,61,,,,,,
[2024/03/06 13:27:35] 5G,register,34.59,102,100,-76,-20,-53,11,1,16,0/10,-63.4,-12.9,-76.2,-54.6,-12.8,-67.3,-63.2,-12,-75.1,-63.9,-11.6,-75.5,359918920049210,999991829903013
[2024/03/06 13:27:35] Wi-Fi,link,3.166,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,229.4,9,9,-112,-50,-50,-57,62,62,55,60,,,,,,
[2024/03/06 13:27:37] 5G,register,29.466,103,100,-64,-14,-50,11,3,16,0/10,-60.7,-14.2,-74.9,-53.4,-12.5,-65.9,-67.7,-11.4,-79.1,-62.9,-11.1,-74,359918920049210,999991829903013
[2024/03/06 13:27:37] Wi-Fi,link,3.966,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,229.4,9,9,-112,-48,-49,-54,64,63,58,62,,,,,,
[2024/03/06 13:27:38] 5G,register,29.523,102,100,-68,-13,-55,10,3,16,0/10,-59.1,-11.1,-70.2,-58.3,-12.3,-70.5,-59.7,-10.9,-70.6,-58.4,-11,-69.4,359918920049210,999991829903013
[2024/03/06 13:27:38] Wi-Fi,link,4.475,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,229.4,9,10,-112,-49,-50,-56,63,62,56,61,,,,,,
[2024/03/06 13:27:40] 5G,register,39.228,102,100,-72,-14,-58,13,3,8,9/10,-64.2,-14.6,-78.7,-60,-11.6,-71.6,-60.2,-10.9,-71.1,-60.6,-11,-71.6,359918920049210,999991829903013
[2024/03/06 13:27:40] Wi-Fi,link,3.217,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,229.4,9,9,-112,-52,-53,-55,60,59,57,58,,,,,,
[2024/03/06 13:27:41] 5G,register,35.502,102,100,-66,-11,-55,11,3,16,0/10,-56.3,-10.9,-67.2,-54.7,-13.7,-68.4,-60.9,-11,-71.8,-56.4,-10.9,-67.3,359918920049210,999991829903013
[2024/03/06 13:27:41] Wi-Fi,link,3.381,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,229.4,9,9,-112,-54,-57,-60,58,55,52,56,,,,,,
[2024/03/06 13:27:43] 5G,register,33.574,102,100,-64,-10,-53,12,1,16,0/10,-58.2,-11.2,-69.3,-52.6,-11.6,-64.2,-60.9,-11,-71.8,-56.4,-10.9,-67.3,359918920049210,999991829903013
[2024/03/06 13:27:43] Wi-Fi,link,3.195,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,8,-112,-59,-61,-64,53,51,48,51,,,,,,
[2024/03/06 13:27:44] 5G,register,33.191,102,100,-68,-11,-56,13,1,16,0/10,-56.6,-12.1,-68.7,-52.4,-11.4,-63.7,-60.9,-11,-71.8,-56.4,-10.9,-67.3,359918920049210,999991829903013
[2024/03/06 13:27:44] Wi-Fi,link,55.544,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,8,-112,-62,-63,-68,50,49,44,48,,,,,,
[2024/03/06 13:27:46] 5G,register,30.811,102,100,-67,-10,-56,12,1,16,0/10,-56.6,-12.7,-69.2,-56.9,-15.6,-72.4,-60.9,-11,-71.8,-56.4,-10.9,-67.3,359918920049210,999991829903013
[2024/03/06 13:27:46] Wi-Fi,link,8.994,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,7,-112,-64,-65,-68,48,47,44,46,,,,,,
[2024/03/06 13:27:47] 5G,register,32.831,102,100,-67,-12,-54,12,1,16,0/10,-57.3,-12.1,-69.4,-59.1,-12.1,-71.1,-60.4,-10.9,-71.3,-57,-10.9,-67.8,359918920049210,999991829903013
[2024/03/06 13:27:47] Wi-Fi,link,9.222,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,7,-112,-63,-65,-69,49,47,43,47,,,,,,
[2024/03/06 13:27:48] 5G,register,25.52,102,100,-61,-11,-49,13,1,16,0/18,-57.6,-11.1,-68.7,-52.3,-12.3,-64.5,-55.7,-10.8,-66.5,-58.1,-11,-69,359918920049210,999991829903013
[2024/03/06 13:27:49] Wi-Fi,link,3.093,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,7,-112,-64,-66,-69,48,46,43,46,,,,,,
[2024/03/06 13:27:50] 5G,register,32.01,102,100,-66,-10,-55,12,1,16,0/18,-63.3,-10.9,-74.1,-56.8,-10.9,-67.6,-62.4,-11,-73.4,-56.9,-10.9,-67.7,359918920049210,999991829903013
[2024/03/06 13:27:50] Wi-Fi,link,3.018,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,172,7,7,-112,-66,-68,-71,46,44,41,44,,,,,,
[2024/03/06 13:27:51] 5G,register,33.482,102,100,-70,-12,-57,12,3,16,0/18,-60.7,-14,-74.6,-55.6,-10.9,-66.5,-57.2,-10.9,-68.1,-59.8,-10.9,-70.7,359918920049210,999991829903013
[2024/03/06 13:27:51] Wi-Fi,link,15.442,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,137.6,5,7,-112,-66,-68,-71,46,44,41,44,,,,,,
[2024/03/06 13:27:53] 5G,register,111.051,102,100,-68,-11,-57,12,1,16,0/18,-61.3,-14.5,-75.8,-55.6,-11.5,-67,-66.7,-11.2,-77.9,-64.5,-11.1,-75.6,359918920049210,999991829903013
[2024/03/06 13:27:53] Wi-Fi,link,12.519,UIWANG_OLT_AGV,80:03:84:ba:48:80,48,5240,20,40,137.6,5,8,-112,-66,-67,-72,46,45,40,44,,,,,,
[2024/03/06 13:27:54] 5G,register,117.835,102,100,-67,-11,-56,11,3,16,0/18,-60.1,-18.6,-78.7,-55.7,-11.7,-67.4,-71.4,-11.6,-83,-63.4,-10.9,-74.3,359918920049210,999991829903013
[2024/03/06 13:27:54] Wi-Fi,link,3.261,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,6,0,6,-110,-64,-66,-69,46,44,41,46,,,,,,
[2024/03/06 13:27:56] 5G,register,30.538,102,100,-69,-12,-56,12,3,16,0/18,-60.6,-15.4,-75.9,-57,-11.5,-68.4,-66.4,-11.2,-77.5,-67,-11.6,-78.6,359918920049210,999991829903013
[2024/03/06 13:27:56] Wi-Fi,link,24.763,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,299.4,6,6,-110,-63,-64,-66,47,46,44,47,,,,,,
[2024/03/06 13:27:57] 5G,register,8.436,102,100,-67,-11,-55,12,3,16,0/18,-63.4,-11.1,-74.5,-58.6,-13,-71.5,-59.8,-10.9,-70.7,-61.4,-10.9,-72.3,359918920049210,999991829903013
[2024/03/06 13:27:57] Wi-Fi,link,5.988,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,149.7,6,6,-110,-64,-65,-69,46,45,41,46,,,,,,
[2024/03/06 13:27:59] 5G,register,28.547,102,100,-67,-13,-54,11,3,16,0/18,-57.8,-11,-68.7,-58,-14.8,-72.7,-59.9,-10.9,-70.8,-55.9,-10.9,-66.8,359918920049210,999991829903013
[2024/03/06 13:27:59] Wi-Fi,link,24.142,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,344.1,7,6,-110,-64,-66,-70,46,44,40,46,,,,,,
[2024/03/06 13:28:00] 5G,register,33.551,102,100,-65,-11,-53,14,1,16,0/18,-57.8,-16.9,-74.7,-53,-11.6,-64.5,-60.3,-11.1,-71.4,-55.2,-10.9,-66.1,359918920049210,999991829903013
[2024/03/06 13:28:00] Wi-Fi,link,117.585,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,299.4,6,6,-110,-64,-66,-71,46,44,39,46,,,,,,
[2024/03/06 13:28:02] 5G,register,36.542,102,100,-63,-10,-52,11,3,16,0/22,-51.4,-11.1,-62.5,-53.1,-11.3,-64.4,-57.9,-11,-68.9,-55.5,-10.9,-66.4,359918920049210,999991829903013
[2024/03/06 13:28:02] Wi-Fi,link,19.703,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,275.2,5,6,-110,-66,-67,-72,44,43,38,44,,,,,,
[2024/03/06 13:28:03] 5G,register,33.636,102,100,-66,-11,-54,14,1,16,0/22,-58.5,-11.2,-69.7,-52.7,-12.4,-65.1,-57.9,-11,-68.9,-55.5,-10.9,-66.4,359918920049210,999991829903013
[2024/03/06 13:28:03] Wi-Fi,link,49.975,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,275.2,5,6,-110,-64,-65,-70,46,45,40,46,,,,,,
[2024/03/06 13:28:05] 5G,register,22.193,102,100,-69,-14,-54,13,1,16,0/22,-61,-13.5,-74.4,-57.8,-16.8,-74.6,-56,-11,-67,-58.3,-11,-69.3,359918920049210,999991829903013
[2024/03/06 13:28:05] Wi-Fi,link,52.199,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,206.4,4,6,-110,-66,-67,-72,44,43,38,44,,,,,,
[2024/03/06 13:28:06] 5G,register,43.624,102,100,-67,-14,-53,11,3,16,0/22,-57.8,-11.4,-69.1,-57.7,-12.2,-69.8,-65.8,-11.1,-76.8,-61,-11,-72,359918920049210,999991829903013
[2024/03/06 13:28:06] Wi-Fi,link,3.667,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,206.4,4,7,-110,-67,-68,-73,43,42,37,43,,,,,,
[2024/03/06 13:28:08] 5G,register,33.62,102,100,-68,-11,-57,12,3,16,0/22,-56.9,-11.4,-68.3,-54.8,-14.8,-69.5,-56.6,-11,-67.6,-63.8,-11.1,-74.9,359918920049210,999991829903013
[2024/03/06 13:28:08] Wi-Fi,link,10.208,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,206.4,4,6,-110,-68,-70,-74,42,40,36,42,,,,,,
[2024/03/06 13:28:09] 5G,register,38.668,102,100,-72,-16,-56,11,3,16,0/13,-56.9,-11.7,-68.5,-55.6,-15.6,-71.1,-54.9,-10.9,-65.8,-52,-11,-62.9,359918920049210,999991829903013
[2024/03/06 13:28:09] Wi-Fi,link,5.922,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,206.4,4,5,-110,-68,-70,-73,42,40,37,42,,,,,,
[2024/03/06 13:28:11] 5G,register,28.568,102,100,-57,-10,-46,12,3,16,0/13,-54.9,-10.9,-65.8,-45.6,-10.6,-56.1,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:11] Wi-Fi,link,14.28,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,206.4,4,5,-110,-67,-70,-71,43,40,39,43,,,,,,
[2024/03/06 13:28:12] 5G,register,38.55,102,100,-58,-10,-48,14,1,16,0/13,-47.3,-11,-58.2,-49.8,-11.2,-61,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:12] Wi-Fi,link,3.951,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,206.4,4,5,-110,-69,-70,-73,41,40,37,41,,,,,,
[2024/03/06 13:28:13] 5G,register,28.448,102,100,-54,-10,-44,15,1,16,0/16,-50.5,-10.5,-61,-49.1,-10.8,-59.8,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:14] Wi-Fi,link,18.051,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,206.4,4,5,-110,-69,-71,-73,41,39,37,41,,,,,,
[2024/03/06 13:28:15] 5G,register,33.309,102,100,-54,-10,-43,13,1,16,0/16,-51.7,-10.5,-62.2,-46.9,-10.8,-57.6,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:15] Wi-Fi,link,20.119,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,275.2,5,5,-110,-68,-70,-73,42,40,37,42,,,,,,
[2024/03/06 13:28:16] 5G,register,33.593,102,100,-58,-10,-47,13,1,16,0/16,-46.7,-10.5,-57.1,-46.3,-10.5,-56.8,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:16] Wi-Fi,link,11.049,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,6,-110,-67,-69,-72,43,41,38,43,,,,,,
[2024/03/06 13:28:18] 5G,register,33.298,102,100,-58,-11,-47,8,1,16,0/16,-51.1,-11.1,-62.2,-50.3,-12.4,-62.7,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:18] Wi-Fi,link,16.948,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,5,-110,-68,-70,-73,42,40,37,42,,,,,,
[2024/03/06 13:28:19] 5G,register,35.393,102,100,-54,-10,-43,7,1,16,0/16,-49,-10.5,-59.5,-49.4,-10.7,-60,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:19] Wi-Fi,link,21.302,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,5,-110,-66,-65,-73,44,45,37,44,,,,,,
[2024/03/06 13:28:21] 5G,register,31.48,102,100,-59,-10,-48,8,1,16,0/19,-56.2,-17.8,-74,-47.8,-10.8,-58.6,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:21] Wi-Fi,link,8.757,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,6,-110,-67,-69,-74,43,41,36,43,,,,,,
[2024/03/06 13:28:22] 5G,register,37.331,102,100,-59,-10,-49,7,1,16,0/19,-51.3,-11.3,-62.5,-52.3,-13.6,-65.9,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:22] Wi-Fi,link,4.689,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,5,-110,-67,-69,-72,43,41,38,43,,,,,,
[2024/03/06 13:28:24] 5G,register,28.483,102,100,-59,-10,-49,15,1,16,1/19,-57.1,-11,-68,-54.2,-14.3,-68.5,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:24] Wi-Fi,link,3.901,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,5,-110,-67,-67,-74,43,43,36,43,,,,,,
[2024/03/06 13:28:25] 5G,register,27.302,102,100,-59,-10,-49,14,1,16,0/19,-55.5,-13.1,-68.5,-49.5,-11.4,-60.9,-49,-10.9,-59.8,-54.4,-10.9,-65.3,359918920049210,999991829903013
[2024/03/06 13:28:25] Wi-Fi,link,6.865,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,6,-110,-67,-70,-72,43,40,38,43,,,,,,
[2024/03/06 13:28:27] 5G,register,38.586,102,100,-65,-10,-54,13,1,16,0/19,-58.1,-16.1,-74.2,-50.2,-10.9,-61,-58.3,-11.1,-69.4,-63.4,-11.1,-74.4,359918920049210,999991829903013
[2024/03/06 13:28:27] Wi-Fi,link,5.768,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,5,-110,-67,-69,-73,43,41,37,43,,,,,,
[2024/03/06 13:28:28] 5G,register,33.418,102,100,-58,-11,-47,12,3,16,0/19,-60,-13.4,-73.4,-49.5,-11.5,-61,-52.3,-11.1,-63.3,-58.4,-11.2,-69.5,359918920049210,999991829903013
[2024/03/06 13:28:28] Wi-Fi,link,3.025,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,172,7,5,-110,-68,-70,-73,42,40,37,42,,,,,,
[2024/03/06 13:28:30] 5G,register,31.905,102,100,-67,-12,-54,11,3,16,0/19,-54.5,-14,-68.4,-50.3,-10.7,-61,-59.5,-11.1,-70.5,-51.2,-10.9,-62,359918920049210,999991829903013
[2024/03/06 13:28:30] Wi-Fi,link,14.364,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,149.7,6,6,-110,-67,-68,-73,43,42,37,43,,,,,,
[2024/03/06 13:28:31] 5G,register,33.617,102,100,-55,-10,-44,12,1,16,0/19,-53.2,-12.7,-65.8,-49.3,-14,-63.3,-57.9,-10.9,-68.8,-49.9,-11,-60.9,359918920049210,999991829903013
[2024/03/06 13:28:31] Wi-Fi,link,23.392,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,149.7,6,6,-110,-68,-70,-74,42,40,36,42,,,,,,
[2024/03/06 13:28:33] 5G,register,33.602,102,100,-63,-10,-52,12,1,16,0/19,-54.1,-12.1,-66.2,-50.4,-12.4,-62.8,-57,-11.2,-68.2,-59.3,-11,-70.2,359918920049210,999991829903013
[2024/03/06 13:28:33] Wi-Fi,link,13.013,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,149.7,6,4,-110,-68,-71,-72,42,39,38,42,,,,,,
[2024/03/06 13:28:34] 5G,register,31.045,102,100,-69,-13,-55,11,3,16,0/19,-55.9,-13,-68.8,-56.3,-11.3,-67.6,-61.1,-11.2,-72.3,-58.4,-11,-69.4,359918920049210,999991829903013
[2024/03/06 13:28:34] Wi-Fi,link,10.716,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,149.7,6,4,-110,-66,-67,-72,44,43,38,44,,,,,,
[2024/03/06 13:28:36] 5G,register,38.59,102,100,-65,-11,-54,11,3,16,0/19,-59.5,-15.1,-74.6,-57.5,-11.9,-69.3,-64.5,-11.3,-75.8,-55.7,-11.1,-66.8,359918920049210,999991829903013
[2024/03/06 13:28:36] Wi-Fi,link,17.739,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,149.7,6,4,-110,-69,-70,-77,41,40,33,41,,,,,,
[2024/03/06 13:28:37] 5G,register,30.583,102,100,-70,-15,-54,11,3,16,0/10,-61.2,-14.1,-75.2,-54.2,-21,-75.2,-64.3,-11.5,-75.8,-56.8,-11.2,-68,359918920049210,999991829903013
[2024/03/06 13:28:37] Wi-Fi,link,17.279,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,137.6,3,5,-110,-70,-70,-75,40,40,35,40,,,,,,
[2024/03/06 13:28:39] 5G,register,33.538,101,100,-74,-20,-54,10,3,16,0/4,-58.4,-16.6,-75,-51.8,-18.5,-70.3,-120,-13.8,-140,-62.1,-11.5,-73.6,359918920049210,999991829903013
[2024/03/06 13:28:39] Wi-Fi,link,28.701,UIWANG_OLT_AGV,80:03:84:b6:db:20,44,5220,40,40,137.6,3,7,-110,-72,-73,-78,38,37,32,38,,,,,,
[2024/03/06 13:28:40] 5G,register,32.891,101,100,-68,-12,-56,10,3,16,0/4,-58.8,-17.4,-76.1,-56.8,-20.2,-77,-66.9,-12.5,-79.4,-67.2,-12.1,-79.3,359918920049210,999991829903013
[2024/03/06 13:28:40] Wi-Fi,link,78.92,UIWANG_OLT_AGV,80:03:84:bb:2a:20,44,5220,40,40,299.4,6,7,-110,-61,-63,-66,49,47,44,49,,,,,,
[2024/03/06 13:28:41] 5G,register,8.954,101,100,-78,-20,-56,11,3,16,0/21,-62.2,-15.6,-77.7,-55.5,-14.2,-69.7,-65.4,-11.7,-77.1,-57.2,-11.3,-68.5,359918920049210,999991829903013
[2024/03/06 13:28:42] Wi-Fi,link,8.692,UIWANG_OLT_AGV,80:03:84:bb:2a:20,44,5220,40,40,299.4,6,8,-110,-62,-63,-68,48,47,42,48,,,,,,
[2024/03/06 13:28:43] 5G,register,33.64,101,100,-66,-12,-53,10,3,16,0/21,-58.3,-15.2,-73.5,-58.5,-21.1,-79.5,-68,-11.5,-79.4,-57.8,-11.1,-68.8,359918920049210,999991829903013
[2024/03/06 13:28:43] Wi-Fi,link,14.199,UIWANG_OLT_AGV,80:03:84:bb:2a:20,44,5220,40,40,299.4,6,7,-110,-59,-59,-66,51,51,44,51,,,,,,
[2024/03/06 13:28:44] 5G,register,26.081,101,100,-69,-13,-55,11,3,16,0/21,-60.8,-18.5,-79.3,-53.9,-15,-68.9,-64.6,-11.3,-75.9,-62.7,-11.2,-73.9,359918920049210,999991829903013
[2024/03/06 13:28:44] Wi-Fi,link,11.783,UIWANG_OLT_AGV,80:03:84:bb:2a:20,44,5220,40,40,299.4,6,8,-110,-60,-61,-66,50,49,44,50,,,,,,
[2024/03/06 13:28:46] 5G,register,14.127,101,100,-64,-11,-53,11,3,16,0/21,-58.5,-17.3,-75.7,-58,-14.6,-72.6,-59.6,-11.3,-70.8,-57.9,-11.1,-69,359918920049210,999991829903013
[2024/03/06 13:28:46] Wi-Fi,link,7.342,UIWANG_OLT_AGV,80:03:84:bb:2a:20,44,5220,40,40,344.1,7,6,-110,-61,-62,-66,49,48,44,49,,,,,,
